Id;Codigo;NRO.;PARROQUIA LA PASCUA ( BARRIOS);Valor unitario del terreno (Vut) (PETRO/METRO CUADRADO);Valor unitario de construcci¢n (Vuc)(PETRO/METRO CUADRADO);caracterizacion del Sector;;;;;;
1101001;Residencial;1;Corazon de Dios;0.04;0.17;E;;;;;;
1101002;Residencial;2;El Mesias;0.04;0.2;E;;;;;;
1101003;Residencial;3; La Bendicion de Dios;0.05;0.2;D;;;;;;
1101004;Residencial;4;La Romana ;0.05;0.3;D;;;;;;
1101005;Residencial;5;La Margarita;0.05;0.3;D;;;;;;
1101006;Residencial;6;Brisas del Norte;0.04;0.21;E;;;;;;
1101007;Residencial;7;Vaporon;0.05;0.3;D;;;;;;
1101008;Residencial;8;Simon Rodriguez;0.03;0.2;F;;;;;;
1101009;Residencial;9;El Triunfo;0.05;0.3;D;;;;;;
1101010;Residencial;10;Las Malvinas;0.05;0.3;D;;;;;;
1101011;Residencial;11;La vuelta del Cacho;0.05;0.3;D;;;;;;
1101012;Residencial;12;Francisco De Miranda;0.04;0.3;E;;;;;;
1101013;Residencial;13;Arevalo Cede¤o;0.05;0.4;D;;;;;;
1101014;Residencial;14;Lirio Del Valle;0.05;0.5;D;;;;;;
1101015;Residencial;15;Colina Del Valle;0.05;0.5;D;;;;;;
1101016;Residencial;16;4 De Febrero;0.05;0.3;D;;;;;;
1101017;Residencial;17;Brisas Del Este;0.05;0.21;D;;;;;;
1101018;Residencial;18;Lomas Del Este;0.05;0.21;D;;;;;;
1101019;Residencial;19;Los Olivos I;0.05;0.5;D;;;;;;
1101020;Residencial;20;Los Olivos II;0.05;0.5;D;;;;;;
1101021;Residencial;21;Matos Charmelo;0.05;0.5;D;;;;;;
1101022;Residencial;22;5 de Julio;0.05;0.5;D;;;;;;
1101023;Residencial;23;Playa Verde;0.05;0.4;D;;;;;;
1101024;Residencial;24;La Concordia;0.1;0.5;C;;;;;;
1101025;Residencial;25;El Amparo;0.05;0.4;D;;;;;;
1101026;Residencial;26;Los Balsamos;0.1;0.6;C;;;;;;
1101027;Residencial;27;las Amazonas;0.05;0.4;D;;;;;;
1101028;Residencial;28;San Miguel;0.1;0.6;C;;;;;;
1101029;Residencial;29;Alfallano;0.05;0.3;D;;;;;;
1101030;Residencial;30;El Rosario;0.05;0.4;D;;;;;;
1101031;Residencial;31;El Zamuro;0.1;0.6;C;;;;;;
1101032;Residencial;32;La Morita;0.1;0.6;C;;;;;;
1101033;Residencial;33;Santa Eduvirges;0.05;0.6;D;;;;;;
1101034;Residencial;34;Minas De Arena;0.05;0.3;D;;;;;;
1101035;Residencial;35;Matadero;0.05;0.21;D;;;;;;
1101036;Residencial;36;Aeropuerto;0.1;0.21;C;;;;;;
1101037;Residencial;37;La Agustina;0.05;0.21;D;;;;;;
1101038;Residencial;38;Autoconstruccion I;0.05;0.5;D;;;;;;
1101039;Residencial;39;Autoconstruccion II;0.05;0.5;D;;;;;;
1101040;Residencial;40;Universidad;0.05;0.5;D;;;;;;
1101041;Residencial;41;Jose Felix Ribas;0.05;0.21;D;;;;;;
1101042;Residencial;42;La Represa;0.1;0.7;C;;;;;;
1101043;Residencial;43;La Florida I;0.1;0.4;C;;;;;;
1101044;Residencial;44;Florida II;0.1;0.4;C;;;;;;
1101045;Residencial;45;el Amparo;0.1;0.4;C;;;;;;
1101046;Residencial;46;Paraiso;0.1;0.21;C;;;;;;
1101047;Residencial;47;Las Industrias;0.1;0.21;C;;;;;;
1101048;Residencial;48;Polideportivo;0.1;0.5;C;;;;;;
1101049;Residencial;49;Carlos Perez;0.1;0.6;C;;;;;;
1101050;Residencial;50;Pueblo Nuevo;0.1;0.4;C;;;;;;
1101051;Residencial;51;Calle Nueva;0.05;0.3;D;;;;;;
1101052;Residencial;52;La Vigia II;0.05;0.4;D;;;;;;
1101053;Residencial;53;La Vigia I;0.13;0.7;B;;;;;;
1101054;Residencial;54;Cocacola;0.1;0.5;C;;;;;;
1101055;Residencial;55;12 De Octubre;0.1;0.5;C;;;;;;
1101056;Residencial;56;Romulo Gallegos;0.05;0.5;D;;;;;;
1101057;Residencial;57;El Martillo;0.1;0.7;C;;;;;;
1101058;Residencial;58;La Atascosa ;0.1;0.9;C;;;;;;
1101059;Residencial;59;Morichal;0.1;0.7;C;;;;;;
1101060;Residencial;60;Casco Central ;0.16;0.9;A;;;;;;
1101061;Residencial;61;Simon Bolivar;0.13;0.9;B;;;;;;
1101062;Residencial;62;Las Garcitas;0.1;0.5;C;;;;;;
1101063;Residencial;63;Padre Chacin;0.1;0.5;C;;;;;;
1101064;Residencial;64;Corazon De Jesus;0.13;0.5;B;;;;;;
1101065;Residencial;65;Los Cocos;0.1;0.9;C;;;;;;
1101066;Residencial;66;Jardin La Pascua;0.1;0.6;C;;;;;;
1101067;Residencial;67;La Pua;0.1;0.6;C;;;;;;
1101068;Residencial;68;Ruiz Pineda;0.1;0.9;C;;;;;;
1101069;Residencial;69;Las Margaritas;0.05;0.21;D;;;;;;
1101070;Residencial;70;El Faralyon;0.13;0.9;B;;;;;;
1101071;Residencial;71;Alborada Contry;0.13;0.9;B;;;;;;
1101072;Residencial;72;Villas De Sol;0.1;0.25;C;;;;;;
1101073;Residencial;73;Banco Obrero;0.1;1.05;C;;;;;;
1101074;Residencial;74;Vidal Guia I;0.05;0.25;D;;;;;;
1101075;Residencial;75;Vidal Guia II;0.05;0.21;D;;;;;;
1101076;Residencial;76;Vidal Guia III;0.05;0.21;D;;;;;;
1101077;Residencial;77;Las Cascada;0.1;0.25;C;;;;;;
1101078;Residencial;78;El Parque;0.1;0.25;C;;;;;;
1101079;Residencial;79;Terrazas Del Parque;0.05;0.21;D;;;;;;
1101080;Residencial;80;Morichal;0.1;0.9;C;;;;;;
1101081;Residencial;81;Los Bolivarianos;0.1;0.9;C;;;;;;
1101082;Residencial;82;Terraza de Hugo Chavez;0.05;0.17;D;;;;;;
1101083;Residencial;83;OCV La Candelaria;0.1;0.25;C;;;;;;
1101084;Residencial;84;La Trinidad;0.1;0.9;C;;;;;;
1101085;Residencial;85;La Gracia De Dios;0.05;0.7;D;;;;;;
1101086;Residencial;86;Maria De San Jose;0.05;0.7;D;;;;;;
1101087;Residencial;87;Palmar I;0.1;0.9;C;;;;;;
1101088;Residencial;88;Palmar II;0.1;0.9;C;;;;;;
1101089;Residencial;89;Palmar III;0.05;0.7;D;;;;;;
1101090;Residencial;90;Cerrito I;0.1;0.9;C;;;;;;
1101091;Residencial;91;Cerrito II;0.1;0.9;C;;;;;;
1101092;Residencial;92;Cerrito III;0.1;0.9;C;;;;;;
1101093;Residencial;93;Rodriguez Chacin;0.1;0.21;C;;;;;;
1101094;Residencial;94;El Remanso;0.1;1.05;C;;;;;;
1101095;Residencial;95;Frente Al Amparo;0.1;1.05;C;;;;;;
1101096;Residencial;96;Alto De Los Reyes;0.1;1.05;C;;;;;;
1101097;Residencial;97;Las Carolinas;0.1;1.05;C;;;;;;
1101098;Residencial;98;Los Laureles;0.1;1.05;C;;;;;;
1101099;Residencial;99;Cristo Rey;0.1;1.05;C;;;;;;
1101100;Residencial;100;Vipedi;0.1;1.05;C;;;;;;
1101101;Residencial;101;Las Lomas;0.1;1.05;C;;;;;;
1101102;Residencial;102;Lomas Del Llanos II;0.1;1.05;C;;;;;;
1101103;Residencial;103;Guamachal;0.13;1.3;B;;;;;;
1101104;Residencial;104;La Arboleda;0.13;1.3;B;;;;;;
1101105;Residencial;105;Terraza De Corozal PU5;0.05;0.7;D;;;;;;
1101106;Residencial;106;Llano Alto PU5;0.13;1.1;B;;;;;;
1101107;Residencial;107;Fogoncito PU3;0.13;1.1;B;;;;;;
1101108;Residencial;108;La Bendicion PU1 ;0.05;0.9;D;;;;;;
1101109;Residencial;109;Tamanaco Contry PU1;0.1;1.1;C;;;;;;
1101110;Residencial;110;Villa Del Rosario PU1;0.05;0.7;D;;;;;;
1101111;Residencial;111;La Tres Gracias PU1;0.05;0.7;D;;;;;;
1101112;Residencial;112;Las Aves PU1;0.03;0.35;F;;;;;;
1101113;Residencial;113;La Solucion PU-4;0.03;0.35;F;;;;;;
